TAR_ENRE;MEDIDOR;FACTURA;IMP_TOTAL_FACTURA;IMP_ENE_REACT;DIRECCION;NOM_CLIENTE;TENSION;ID_CUENTA;ENERGIA_ACTIVA;FECHA_LEC_DESDE;FECHA_LEC_HASTA;DISTRIBUIDORA;FECH_VTO;FECHA_ARCHIVO;FECHA_ARCHIVO_MODIF;IMP_CONCEPTOS_ELECTRICOS;POT_CONTR;POT_ADQUIRIDA;POT_EXCESO;ENE_REACT;IMP_ENERGIA_ACTIVA;IMP_IMPUESTOS_Y_AJUSTES;Potencia_Optima;COSENO;AÑO FACTURA;Qi;Qf;Qc;Test Qi-Qc;Qc promedio;Qc banco;Cargo_pot_Contratada_Actual;Cargo_pot_excedida_Actual;Cargo_pot_Contratada_Optima;Cargo_pot_excedida_Optima;Importe_Potencia_Actual_Con_impuestos;Importe_Potencia_Optima_Con_impuestos;Cargo_Desvio_optimo;Inmuebles.latitude;Inmuebles.longitude;Inmuebles.TABLA INMUEBLES.DENOMINACION;Inmuebles.TABLA INMUEBLES.NIVEL GESTION 1;IMP_CARGO_POR_POTENCIA;REPARTICION
1;7459230;41761387;7.325,54 ARS;0;DEFENSA 229  1065                                 ;MUSEO DE LA CIUDAD            ;BT;3414461;3256,0;15/2/2017;21/3/2017;EDESUR;23/5/2017;201704;04/2017;5.127,88 ARS;0;0;0;2018;5539,8;1.785,74 ARS;0;0,85;2017;2.522.359.457;2.522.359.457;0;ok;0;0;0;0;0;0;0;0;0;-34,6105131;-58,3720754;MUSEO DE LA CIUDAD DE BUENOS AIRES;MINISTERIO DE CULTURA;0;MUSEO DE LA CIUDAD
1;15000622;43999192;1.771,19 ARS;196,56;BARRIO LUGANO 1Y2 EDIF 23   1439                  ;BIBLIOTECA CHORROARIN         ;BT;2001876;651,0;26/3/2017;28/4/2017;EDESUR;26/6/2017;201705;05/2017;1.239,83 ARS;0;0;0;609;999,29;575,34 ARS;0;0,73;2017;7.618.563.209;5.043.169.554;2.575.393.655;ok;3.208.683.529;350;0;0;0;0;0;0;0;-34,6839261;-58,4652489;D.G. LIBRO Y PROM. LECTURA J. 50;MINISTERIO DE CULTURA;0;D.G. LIBRO Y PROM. LECTURA J. 50
1;1002652;43999184;12.017,02 ARS;0;B PIEDRAB FTE ESC 55A          1439               ;UNIDAD SANITARIA              ;BT;2000035;2514,0;29/3/2017;3/5/2017;EDESUR;26/6/2017;201705;05/2017;8.411,91 ARS;0;0;0;1558;4575,48;7.441,54 ARS;0;0,85;2017;1.947.546.583;1.947.546.583;0;ok;7.250.888.783;800;0;0;0;0;0;0;0;-34,6780538;-58,4928629;Unidad Sanitaria Movil;MINISTERIO DE SALUD;0;MINISTERIO DE SALUD J.40
1;7459230;43841998;8.050,20 ARS;0;DEFENSA 229  1065                                 ;MUSEO DE LA CIUDAD            ;BT;3414461;3353,0;21/3/2017;25/4/2017;EDESUR;26/6/2017;201705;05/2017;5.635,14 ARS;0;0;0;2078;6102,46;1.947,74 ARS;0;0,85;2017;2.597.503.458;2.597.503.458;0;ok;0;0;0;0;0;0;0;0;0;-34,6105131;-58,3720754;MUSEO DE LA CIUDAD DE BUENOS AIRES;MINISTERIO DE CULTURA;0;MUSEO DE LA CIUDAD
1;15000622;46067501;1.845,34 ARS;21,37;BARRIO LUGANO 1Y2 EDIF 23   1439                  ;BIBLIOTECA CHORROARIN         ;BT;2001876;725,0;28/4/2017;24/5/2017;EDESUR;24/7/2017;201706;06/2017;1.291,74 ARS;0;0;0;487;1273,1;550,87 ARS;0;0,83;2017;6.090.037.022;5.616.433.067;4.736.039.551;inconsistencia;3.208.683.529;350;0;0;0;0;0;0;0;-34,6839261;-58,4652489;D.G. LIBRO Y PROM. LECTURA J. 50;MINISTERIO DE CULTURA;0;D.G. LIBRO Y PROM. LECTURA J. 50
1;1002652;46240352;4.766,84 ARS;0;B PIEDRAB FTE ESC 55A          1439               ;UNIDAD SANITARIA              ;BT;2000035;1975,0;3/5/2017;27/5/2017;EDESUR;24/7/2017;201706;06/2017;3.336,79 ARS;0;0;0;1224;3594,5;1.172,34 ARS;0;0,85;2017;1.529.993.835;1.529.993.835;0;ok;7.250.888.783;800;0;0;0;0;0;0;0;-34,6780538;-58,4928629;Unidad Sanitaria Movil;MINISTERIO DE SALUD;0;MINISTERIO DE SALUD J.40
1;7459230;45744391;5.591,69 ARS;0;DEFENSA 229  1065                                 ;MUSEO DE LA CIUDAD            ;BT;3414461;2330,0;25/4/2017;19/5/2017;EDESUR;24/7/2017;201706;06/2017;3.914,18 ARS;0;0;0;1444;4240,6;1.351,09 ARS;0;0,85;2017;1.805.005.386;1.805.005.386;0;ok;0;0;0;0;0;0;0;0;0;-34,6105131;-58,3720754;MUSEO DE LA CIUDAD DE BUENOS AIRES;MINISTERIO DE CULTURA;0;MUSEO DE LA CIUDAD
1;15000622;48155157;1.847,61 ARS;21,39;BARRIO LUGANO 1Y2 EDIF 23   1439                  ;BIBLIOTECA CHORROARIN         ;BT;2001876;726,0;24/5/2017;19/6/2017;EDESUR;23/8/2017;201707;07/2017;1.293,33 ARS;0;0;0;469;1274,86;551,36 ARS;0;0,84;2017;5.861.870.914;5.624.179.871;237.691.043;ok;3.208.683.529;350;0;0;0;0;0;0;0;-34,6839261;-58,4652489;D.G. LIBRO Y PROM. LECTURA J. 50;MINISTERIO DE CULTURA;0;D.G. LIBRO Y PROM. LECTURA J. 50
1;7459230;47765528;5.826,81 ARS;0;DEFENSA 229  1065                                 ;MUSEO DE LA CIUDAD            ;BT;3414461;2428,0;19/5/2017;13/6/2017;EDESUR;23/8/2017;201707;07/2017;4.078,77 ARS;0;0;0;1505;4418,96;1.407,85 ARS;0;0,85;2017;1.880.924.067;1.880.924.067;0;ok;0;0;0;0;0;0;0;0;0;-34,6105131;-58,3720754;MUSEO DE LA CIUDAD DE BUENOS AIRES;MINISTERIO DE CULTURA;0;MUSEO DE LA CIUDAD
1;1002652;48155148;4.969,43 ARS;0;B PIEDRAB FTE ESC 55A          1439               ;UNIDAD SANITARIA              ;BT;2000035;2059,0;27/5/2017;21/6/2017;EDESUR;23/8/2017;201707;07/2017;3.478,60 ARS;0;0;0;1276;3747,38;1.222,05 ARS;0;0,85;2017;1.595.066.991;1.595.066.991;0;ok;7.250.888.783;800;0;0;0;0;0;0;0;-34,6780538;-58,4928629;Unidad Sanitaria Movil;MINISTERIO DE SALUD;0;MINISTERIO DE SALUD J.40
1;1002652;50362383;5.898,26 ARS;0;B PIEDRAB FTE ESC 55A          1439               ;UNIDAD SANITARIA              ;BT;2000035;2446,0;21/6/2017;20/7/2017;EDESUR;22/9/2017;201708;08/2017;4.128,78 ARS;0;0;0;1516;4451,72;1.446,54 ARS;0;0,85;2017;1.894.868.315;1.894.868.315;0;ok;7.250.888.783;800;0;0;0;0;0;0;0;-34,6780538;-58,4928629;Unidad Sanitaria Movil;MINISTERIO DE SALUD;0;MINISTERIO DE SALUD J.40
1;15000622;50237027;1.534,30 ARS;0;BARRIO LUGANO 1Y2 EDIF 23   1439                  ;BIBLIOTECA CHORROARIN         ;BT;2001876;673,0;19/6/2017;18/7/2017;EDESUR;22/9/2017;201708;08/2017;1.074,01 ARS;0;0;0;417;1033,06;501,24 ARS;0;0,85;2017;5.213.599.247;5.213.599.247;0;ok;3.208.683.529;350;0;0;0;0;0;0;0;-34,6839261;-58,4652489;D.G. LIBRO Y PROM. LECTURA J. 50;MINISTERIO DE CULTURA;0;D.G. LIBRO Y PROM. LECTURA J. 50
1;7459230;49911050;7.534,94 ARS;0;DEFENSA 229  1065                                 ;MUSEO DE LA CIUDAD            ;BT;3414461;3144,0;13/6/2017;14/7/2017;EDESUR;22/9/2017;201708;08/2017;5.274,46 ARS;0;0;0;1948;5722,08;1.812,86 ARS;0;0,85;2017;243.559.525;243.559.525;0;ok;0;0;0;0;0;0;0;0;0;-34,6105131;-58,3720754;MUSEO DE LA CIUDAD DE BUENOS AIRES;MINISTERIO DE CULTURA;0;MUSEO DE LA CIUDAD
1;7459230;51990560;7.534,94 ARS;0;DEFENSA 229  1065                                 ;MUSEO DE LA CIUDAD            ;BT;3414461;3144,0;14/7/2017;14/8/2017;EDESUR;24/10/2017;201709;09/2017;5.274,46 ARS;0;0;0;1948;5722,08;1.812,86 ARS;0;0,85;2017;243.559.525;243.559.525;0;ok;0;0;0;0;0;0;0;0;0;-34,6105131;-58,3720754;MUSEO DE LA CIUDAD DE BUENOS AIRES;MINISTERIO DE CULTURA;0;MUSEO DE LA CIUDAD
1;1002652;52305885;5.898,26 ARS;0;B PIEDRAB FTE ESC 55A          1439               ;UNIDAD SANITARIA              ;BT;2000035;2446,0;20/7/2017;18/8/2017;EDESUR;24/10/2017;201709;09/2017;4.128,78 ARS;0;0;0;1516;4451,72;1.446,54 ARS;0;0,85;2017;1.894.868.315;1.894.868.315;0;ok;7.250.888.783;800;0;0;0;0;0;0;0;-34,6780538;-58,4928629;Unidad Sanitaria Movil;MINISTERIO DE SALUD;0;MINISTERIO DE SALUD J.40
1;15000622;52305895;1.590,72 ARS;0;BARRIO LUGANO 1Y2 EDIF 23   1439                  ;BIBLIOTECA CHORROARIN         ;BT;2001876;698,0;18/7/2017;17/8/2017;EDESUR;24/10/2017;201709;09/2017;1.113,50 ARS;0;0;0;433;1071,43;519,29 ARS;0;0,85;2017;5.407.269.353;5.407.269.353;0;ok;3.208.683.529;350;0;0;0;0;0;0;0;-34,6839261;-58,4652489;D.G. LIBRO Y PROM. LECTURA J. 50;MINISTERIO DE CULTURA;0;D.G. LIBRO Y PROM. LECTURA J. 50
1;15000622;54337029;985,81 ARS;0;BARRIO LUGANO 1Y2 EDIF 23   1439                  ;BIBLIOTECA CHORROARIN         ;BT;2001876;397,0;17/8/2017;14/9/2017;EDESUR;22/11/2017;201710;10/2017;690,07 ARS;0;0;0;246;609,4;376,41 ARS;0;0,85;2017;3.075.481.279;3.075.481.279;0;ok;3.208.683.529;350;0;0;0;0;0;0;0;-34,6839261;-58,4652489;D.G. LIBRO Y PROM. LECTURA J. 50;MINISTERIO DE CULTURA;0;D.G. LIBRO Y PROM. LECTURA J. 50
1;7459230;53970201;5.925,72 ARS;0;DEFENSA 229  1065                                 ;MUSEO DE LA CIUDAD            ;BT;3414461;2461,0;14/8/2017;11/9/2017;EDESUR;22/11/2017;201710;10/2017;4.148,00 ARS;0;0;0;1525;4479,02;1.446,70 ARS;0;0,85;2017;1.906.488.521;1.906.488.521;0;ok;0;0;0;0;0;0;0;0;0;-34,6105131;-58,3720754;MUSEO DE LA CIUDAD DE BUENOS AIRES;MINISTERIO DE CULTURA;0;MUSEO DE LA CIUDAD
1;1002652;54494499;6.252,34 ARS;0;B PIEDRAB FTE ESC 55A          1439               ;UNIDAD SANITARIA              ;BT;2000035;2592,0;18/8/2017;18/9/2017;EDESUR;22/11/2017;201710;10/2017;4.376,64 ARS;0;0;0;1606;4717,44;1.534,90 ARS;0;0,85;2017;2.007.971.656;2.007.971.656;0;ok;7.250.888.783;800;0;0;0;0;0;0;0;-34,6780538;-58,4928629;Unidad Sanitaria Movil;MINISTERIO DE SALUD;0;MINISTERIO DE SALUD J.40
1;1002652;56454043;6.252,34 ARS;0;B PIEDRAB FTE ESC 55A          1439               ;UNIDAD SANITARIA              ;BT;2000035;2592,0;18/9/2017;19/10/2017;EDESUR;26/12/2017;201711;11/2017;4.376,64 ARS;0;0;0;1606;4717,44;1.534,90 ARS;0;0,85;2017;2.007.971.656;2.007.971.656;0;ok;7.250.888.783;800;0;0;0;0;0;0;0;-34,6780538;-58,4928629;Unidad Sanitaria Movil;MINISTERIO DE SALUD;0;MINISTERIO DE SALUD J.40
1;7459230;55982221;6.137,60 ARS;0;DEFENSA 229  1065                                 ;MUSEO DE LA CIUDAD            ;BT;3414461;2549,0;11/9/2017;10/10/2017;EDESUR;26/12/2017;201711;11/2017;4.296,32 ARS;0;0;0;1580;4639,18;1.498,42 ARS;0;0,85;2017;1.974.660.398;1.974.660.398;0;ok;0;0;0;0;0;0;0;0;0;-34,6105131;-58,3720754;MUSEO DE LA CIUDAD DE BUENOS AIRES;MINISTERIO DE CULTURA;0;MUSEO DE LA CIUDAD
1;15000622;56454051;1.024,58 ARS;0;BARRIO LUGANO 1Y2 EDIF 23   1439                  ;BIBLIOTECA CHORROARIN         ;BT;2001876;413,0;14/9/2017;13/10/2017;EDESUR;26/12/2017;201711;11/2017;717,21 ARS;0;0;0;256;633,96;390,62 ARS;0;0,85;2017;3.199.430.147;3.199.430.147;0;ok;3.208.683.529;350;0;0;0;0;0;0;0;-34,6839261;-58,4652489;D.G. LIBRO Y PROM. LECTURA J. 50;MINISTERIO DE CULTURA;0;D.G. LIBRO Y PROM. LECTURA J. 50
1;15000622;58361977;784,11 ARS;65,85;BARRIO LUGANO 1Y2 EDIF 23   1439                  ;BIBLIOTECA CHORROARIN         ;BT;2001876;240,0;13/10/2017;13/11/2017;EDESUR;25/1/2018;201712;12/2017;548,88 ARS;0;0;0;205;368,4;349,86 ARS;0;0,76;2017;2.565.485.812;1.859.233.015;7.062.527.968;inconsistencia;3.208.683.529;350;0;0;0;0;0;0;0;-34,6839261;-58,4652489;D.G. LIBRO Y PROM. LECTURA J. 50;MINISTERIO DE CULTURA;0;D.G. LIBRO Y PROM. LECTURA J. 50
1;3651999;58194216;16.358,59 ARS;0;PASEO COLON AV            161  1036               ;GCBA - METROBUS DEL BAJO      ;BT;4755059;1386,0;12/10/2017;12/11/2017;EDESUR;25/1/2018;201712;12/2017;11.451,01 ARS;0;0;0;859;2433,82;13.924,77 ARS;0;0,85;2017;1.073.707.066;1.073.707.066;0;ok;0;0;0;0;0;0;0;0;0;-34,6096388;-58,3697308;METROBUS;MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;0;METROBUS
1;3652573;58194217;21.136,06 ARS;0;ALEM LEANDRO AV           204  1036               ;GCBA - METROBUS DEL BAJO      ;BT;4755062;2780,0;12/10/2017;12/11/2017;EDESUR;25/1/2018;201712;12/2017;14.795,24 ARS;0;0;0;1723;5059,6;16.076,46 ARS;0;0,85;2017;2.153.611.576;2.153.611.576;0;ok;0;0;0;0;0;0;0;0;0;-34,6052501;-58,3703222;METROBUS;MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;0;METROBUS
1;1002652;58562022;6.212,84 ARS;0;B PIEDRAB FTE ESC 55A          1439               ;UNIDAD SANITARIA              ;BT;2000035;2575,0;19/10/2017;19/11/2017;EDESUR;30/1/2018;201712;12/2017;4.348,99 ARS;0;0;0;1596;4686,5;1.526,34 ARS;0;0,85;2017;1.994.802.089;1.994.802.089;0;ok;7.250.888.783;800;0;0;0;0;0;0;0;-34,6780538;-58,4928629;Unidad Sanitaria Movil;MINISTERIO DE SALUD;0;MINISTERIO DE SALUD J.40
1;3652001;58256406;23.138,76 ARS;0;ALEM LEANDRO AV           693  .1036              ;GCBA - METROBUS DEL BAJO      ;BT;4755270;1607,0;13/10/2017;13/11/2017;EDESUR;25/1/2018;201712;12/2017;16.197,13 ARS;0;0;0;996;2821,89;20.316,87 ARS;0;0,85;2017;124.491.144;124.491.144;0;ok;0;0;0;0;0;0;0;0;0;-34,5996441;-58,3704638;METROBUS;MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;0;METROBUS
1;3652006;58256407;18.918,22 ARS;0;ALEM LEANDRO AV           797  1036               ;GCBA - METROBUS DEL BAJO      ;BT;4755274;2566,0;13/10/2017;13/11/2017;EDESUR;25/1/2018;201712;12/2017;13.242,75 ARS;0;0;0;1590;4670,12;14.248,10 ARS;0;0,85;2017;1.987.829.965;1.987.829.965;0;ok;0;0;0;0;0;0;0;0;0;-34,598407;-58,3709619;METROBUS;MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;0;METROBUS
1;7459230;58194208;8.125,98 ARS;0;DEFENSA 229  1065                                 ;MUSEO DE LA CIUDAD            ;BT;3414461;3392,0;10/10/2017;12/11/2017;EDESUR;25/1/2018;201712;12/2017;5.688,19 ARS;0;0;0;2102;6173,44;1.952,54 ARS;0;0,85;2017;2.627.715.995;2.627.715.995;0;ok;0;0;0;0;0;0;0;0;0;-34,6105131;-58,3720754;MUSEO DE LA CIUDAD DE BUENOS AIRES;MINISTERIO DE CULTURA;0;MUSEO DE LA CIUDAD
1;3652569;58194218;2.822,20 ARS;0;ALEM LEANDRO AV           410  1036               ;GCBA - METROBUS DEL BAJO      ;BT;4755066;168,0;12/10/2017;13/11/2017;EDESUR;25/1/2018;201712;12/2017;1.975,54 ARS;0;0;0;104;257,88;2.564,32 ARS;0;0,85;2017;1.301.463.111;1.301.463.111;0;ok;0;0;0;0;0;0;0;0;0;-34,6030004;-58,3704311;METROBUS;MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;0;METROBUS
1;15000622;60480077;996,74 ARS;83,73;BARRIO LUGANO 1Y2 EDIF 23   1439                  ;BIBLIOTECA CHORROARIN         ;BT;2001876;249,0;13/11/2017;15/12/2017;EDESUR;5/3/2018;201801;01/2018;697,72 ARS;0;0;0;213;465,99;447,02 ARS;0;0,76;2018;266.169.153;1.928.954.253;7.327.372.767;inconsistencia;3.208.683.529;350;0;0;0;0;0;0;0;-34,6839261;-58,4652489;D.G. LIBRO Y PROM. LECTURA J. 50;MINISTERIO DE CULTURA;0;D.G. LIBRO Y PROM. LECTURA J. 50
1;7459230;60112658;9.793,92 ARS;0;DEFENSA 229  1065                                 ;MUSEO DE LA CIUDAD            ;BT;3414461;3392,0;12/11/2017;15/12/2017;EDESUR;5/3/2018;201801;01/2018;6.855,74 ARS;0;0;0;2102;7436,91;2.357,01 ARS;0;0,85;2018;2.627.715.995;2.627.715.995;0;ok;0;0;0;0;0;0;0;0;0;-34,6105131;-58,3720754;MUSEO DE LA CIUDAD DE BUENOS AIRES;MINISTERIO DE CULTURA;0;MUSEO DE LA CIUDAD
1;1002652;60480069;4.603,23 ARS;0;B PIEDRAB FTE ESC 55A          1439               ;UNIDAD SANITARIA              ;BT;2000035;2658,0;19/11/2017;21/12/2017;EDESUR;5/3/2018;201801;01/2018;3.222,26 ARS;0;0;0;1647;6296,14;-1.692,91 ARS;0;0,85;2018;2.059.100.564;2.059.100.564;0;ok;7.250.888.783;800;0;0;0;0;0;0;0;-34,6780538;-58,4928629;Unidad Sanitaria Movil;MINISTERIO DE SALUD;0;MINISTERIO DE SALUD J.40
1;3652006;60206072;7.746,87 ARS;0;ALEM LEANDRO AV           797  1036               ;GCBA - METROBUS DEL BAJO      ;BT;4755274;2649,0;13/11/2017;15/12/2017;EDESUR;5/3/2018;201801;01/2018;5.422,81 ARS;0;0;0;1642;5838,73;1.908,14 ARS;0;0,85;2018;2.052.128.441;2.052.128.441;0;ok;0;0;0;0;0;0;0;0;0;-34,598407;-58,3709619;METROBUS;MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;0;METROBUS
1;3651999;60112681;4.142,47 ARS;0;PASEO COLON AV            161  1036               ;GCBA - METROBUS DEL BAJO      ;BT;4755059;1431,0;12/11/2017;14/12/2017;EDESUR;5/3/2018;201801;01/2018;2.899,73 ARS;0;0;0;887;3017,44;1.125,03 ARS;0;0,85;2018;1.108.567.685;1.108.567.685;0;ok;0;0;0;0;0;0;0;0;0;-34,6096388;-58,3697308;METROBUS;MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;0;METROBUS
1;3652573;60112682;8.264,00 ARS;0;ALEM LEANDRO AV           204  1036               ;GCBA - METROBUS DEL BAJO      ;BT;4755062;2870,0;12/11/2017;14/12/2017;EDESUR;5/3/2018;201801;01/2018;5.784,80 ARS;0;0;0;1779;6247,09;2.016,91 ARS;0;0,85;2018;2.223.332.814;2.223.332.814;0;ok;0;0;0;0;0;0;0;0;0;-34,6052501;-58,3703222;METROBUS;MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;0;METROBUS
1;3652569;60112683;696,55 ARS;0;ALEM LEANDRO AV           410  1036               ;GCBA - METROBUS DEL BAJO      ;BT;4755066;168,0;13/11/2017;15/12/2017;EDESUR;5/3/2018;201801;01/2018;487,59 ARS;0;0;0;104;314,4;382,15 ARS;0;0,85;2018;1.301.463.111;1.301.463.111;0;ok;0;0;0;0;0;0;0;0;0;-34,6030004;-58,3704311;METROBUS;MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;0;METROBUS
1;3652001;60206071;4.817,57 ARS;0;ALEM LEANDRO AV           693  .1036              ;GCBA - METROBUS DEL BAJO      ;BT;4755270;1659,0;13/11/2017;15/12/2017;EDESUR;5/3/2018;201801;01/2018;3.372,30 ARS;0;0;0;1028;3543,21;1.274,36 ARS;0;0,85;2018;1.285.194.822;1.285.194.822;0;ok;0;0;0;0;0;0;0;0;0;-34,5996441;-58,3704638;METROBUS;MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;0;METROBUS
